CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
01.027.058/0001-91;2023-12-31;1;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2716815061;0;2716815061;19135458;0;19135458
01.083.200/0001-18;2023-12-31;1;NEOENERGIA S.A.;1212191878;0;1212191878;1605370;0;1605370
01.104.937/0001-70;2023-12-31;2;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;11764889;0;11764889;0;0;0
01.107.327/0001-20;2023-12-31;1;BBM LOGÍSTICA S.A.;40760818;0;40760818;0;0;0
01.258.944/0001-26;2023-12-31;1;RUMO MALHA SUL S.A.;45088652104779;68597626645111;113686278749890;0;0;0
01.319.044/0001-41;2023-12-31;1;WTC AMAZONAS SUITE HOTEL S.A.;100;0;100;0;0;0
01.417.222/0001-77;2023-12-31;1;MRS LOGISTICA S.A.;187210;150767;337977;0;0;0
01.543.032/0001-04;2023-12-31;1;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;283067254;0;283067254;0;0;0
01.545.826/0001-07;2023-12-31;1;GAFISA S.A.;63267;0;63267;33;0;33
01.548.981/0001-79;2023-12-31;1;INVESTIMENTOS BEMGE S.A.;792;1572;2364;0;0;0
01.599.101/0001-93;2023-12-31;1;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;351837605;0;351837605;0;0;0
01.616.929/0001-02;2023-12-31;3;SANEAMENTO DE GOIAS SA;1866906375;648639993;2515546368;0;0;0
01.637.895/0001-32;2023-12-31;1;VOTORANTIM CIMENTOS S.A.;9225042782;300571428;9525614210;0;0;0
01.838.723/0001-27;2023-12-31;1;BRF S.A.;1682473246;0;1682473246;3817179;0;3817179
01.851.771/0001-55;2023-12-31;1;524 PARTICIPACOES S.A.;4234183918;0;4234183918;0;0;0
01.896.779/0001-38;2023-12-31;1;CSU DIGITAL S.A.;41800;0;41800;544;0;544
01.917.818/0001-36;2023-12-31;1;LIGHT ENERGIA S.A.;77421581;0;77421581;0;0;0
01.938.783/0001-11;2023-12-31;2;CIA PARTICIPACOES ALIANCA DA BAHIA;6425139;6425139;12850278;0;0;0
01.957.772/0001-89;2023-12-31;2;SUL 116 PARTICIPACOES S.A.;83596903;0;83596903;0;0;0
01.968.293/0001-68;2023-12-31;1;ELETRORIVER S.A.;30829941;30829941;61659882;0;0;0
01.989.044/0001-59;2023-12-31;1;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;1000;0;1000;0;0;0
02.016.440/0001-62;2023-12-31;1;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;1125427;0;1125427;0;0;0
02.016.507/0001-69;2023-12-31;1;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;499362292202;0;499362292202;6540876;0;6540876
02.031.413/0001-69;2023-12-31;1;PETRO RIO JAGUAR PETRÓLEO S.A.;546165581900;0;546165581900;0;0;0
02.041.460/0001-93;2023-12-31;1;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;17905442370;0;17905442370;0;0;0
02.062.747/0001-08;2023-12-31;2;SUDESTE S.A.;7104910427101;0;7104910427101;0;0;0
02.149.205/0001-69;2023-12-31;1;PORTO SEGURO S.A.;646586;0;646586;5495;0;5495
02.162.616/0001-94;2023-12-31;2;UPTICK PARTICIPACOES S.A. - EM LIQUIDAÇÃO;52437;0;52437;0;0;0
02.193.750/0001-52;2023-12-31;1;DEXXOS PARTICIPAÇÕES S.A.;88241730;5771805;94013535;0;365381;365381
02.201.787/0001-85;2023-12-31;1;CEL PARTICIPAÇÕES S.A. - CELPAR;2609000;30;2609030;0;0;0
02.217.319/0001-07;2023-12-31;4;YBYRÁ CAPITAL S.A.;116574000;116574000;233148000;0;0;0
02.255.187/0001-08;2023-12-31;1;UNIFIQUE TELECOMUNICAÇÕES S.A.;362049609;0;362049609;9000041;0;9000041
02.258.422/0001-97;2023-12-31;1;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;246386;66035;312421;0;0;0
02.281.836/0001-37;2023-12-31;1;TRANSNORDESTINA LOGISTICA SA;28313622;27649471;55963093;0;0;0
02.286.479/0001-08;2023-12-31;1;LOCALIZA FLEET S.A.;359040238;0;359040238;0;0;0
02.291.077/0001-93;2023-12-31;1;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;100;0;100;0;0;0
02.302.100/0001-06;2023-12-31;1;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;39091735;0;39091735;0;0;0
02.302.101/0001-42;2023-12-31;1;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;14705;22242;36947;0;0;0
02.328.280/0001-97;2023-12-31;1;ELEKTRO REDES S.A.;91881;101878;193759;0;0;0
02.338.534/0001-58;2023-12-31;1;LONGDIS S.A.;4849892;0;4849892;0;0;0
02.351.144/0001-18;2023-12-31;1;TEGMA GESTAO LOGISTICA S.A.;66002915;0;66002915;65143;0;65143
02.351.877/0001-52;2023-12-31;1;LWSA S/A;595764158;0;595764158;6228472;0;6228472
02.357.251/0001-53;2023-12-31;1;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;2576438;0;2576438;0;0;0
02.365.069/0001-44;2023-12-31;2;PADTEC HOLDING S.A.;79215;0;79215;0;0;0
02.382.073/0001-10;2023-12-31;1;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;342985643;0;342985643;0;0;0
02.387.241/0001-60;2023-12-31;1;RUMO S.A.;1854868949;0;1854868949;5365279;0;5365279
02.397.080/0001-96;2023-12-31;1;ITAPEBI GERACAO DE ENERGIA S.A.;85060;0;85060;0;0;0
02.421.421/0001-11;2023-12-31;1;TIM S.A.;2420804398;0;2420804398;205362;0;205362
02.429.144/0001-93;2023-12-31;1;CPFL ENERGIA S.A.;1152254440;0;1152254440;0;0;0
02.451.848/0001-62;2023-12-31;1;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;175000000;0;175000000;0;0;0
02.474.103/0001-19;2023-12-31;1;ENGIE BRASIL ENERGIA S.A.;815927740;0;815927740;0;0;0
02.502.844/0001-66;2023-12-31;1;RUMO MALHA PAULISTA S.A.;1766438661417;3266355797112;5032794458529;0;0;0
02.509.491/0001-26;2023-12-31;1;CONC ECOVIAS IMIGRANTES S.A.;262452;0;262452;0;0;0
02.536.066/0001-26;2023-12-31;1;VITAL ENGENHARIA AMBIENTAL S.A.;6729518;4297542;11027060;0;0;0
02.558.157/0001-62;2023-12-31;1;TELEFÔNICA BRASIL S.A;1652588360;0;1652588360;4356;0;4356
02.560.878/0001-07;2023-12-31;1;HOSPITAL ANCHIETA S.A.;62783;0;62783;0;0;0
02.591.787/0001-39;2023-12-31;1;CAPITALPART PARTICIPACOES S.A.;204417;367653;572070;0;0;0
02.600.854/0001-34;2023-12-31;1;TIM BRASIL SERVIÇOS E PARTICIPAÇÕES S.A.;15865086849;0;15865086849;0;0;0
02.635.522/0001-95;2023-03-31;2;JALLES MACHADO S.A.;294697091;0;294697091;1994200;0;1994200
02.664.042/0001-52;2023-12-31;1;TERMINAL GARAGEM MENEZES CORTES S.A.;526306;0;526306;0;0;0
02.682.287/0001-02;2023-12-31;1;PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11000;0;11000;0;0;0
02.724.983/0001-34;2023-12-31;1;SANESALTO SANEAMENTO S.A.;5353341;0;5353341;0;0;0
02.762.113/0001-50;2023-12-31;1;BRAZILIAN FINANCE E REAL ESTATE S.A.;239;478;717;0;0;0
02.762.121/0001-04;2023-12-31;1;SANTOS BRASIL PARTICIPACOES S.A.;864170;0;864170;694;0;694
02.762.124/0001-30;2023-12-31;1;BETAPART PARTICIPACOES S.A.;2761620;0;2761620;0;0;0
02.783.423/0001-50;2023-12-31;1;ALTERE SECURITIZADORA S.A.;36218984;0;36218984;0;0;0
02.796.775/0001-40;2023-12-31;1;GAMA PARTICIPACOES S.A.;1935716;0;1935716;0;0;0
02.800.026/0001-40;2023-12-31;1;COGNA EDUCAÇÃO S.A.;1876606210;0;1876606210;4650087;0;4650087
02.846.056/0001-97;2023-12-31;1;CCR S.A.;2020000000;0;2020000000;3081575;0;3081575
02.860.694/0001-62;2023-12-31;2;T4F ENTRETENIMENTO S.A.;67413;0;67413;0;0;0
02.916.265/0001-60;2023-12-31;1;JBS S.A.;2218116370;0;2218116370;0;0;0
02.919.555/0001-67;2023-12-31;3;ARTERIS S.A.;760338900;0;760338900;0;0;0
02.932.074/0001-91;2023-12-31;1;HYPERA S.A.;633420823;0;633420823;512303;0;512303
02.950.811/0001-89;2023-12-31;1;PDG REALTY S.A. EMPREEND E PARTICIPACOES;77786;0;77786;37;0;37
02.992.449/0001-09;2023-12-31;1;PROMPT PARTICIPACOES S.A.;5921803893;0;5921803893;0;0;0
02.998.301/0001-81;2023-12-31;1;RIO PARANAPANEMA ENERGIA S.A.;31477761;62955522;94433283;0;0;0
02.998.611/0001-04;2023-12-31;1;ISA ENERGIA BRASIL;257937732;400945572;658883304;0;0;0
03.014.553/0001-91;2023-12-31;2;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;176000;0;176000;2493;0;2493
03.025.305/0001-46;2023-12-31;1;RODOVIAS DAS COLINAS S.A.;74220;0;74220;0;0;0
03.207.703/0001-83;2023-12-31;2;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;4763110;0;4763110;0;0;0
03.220.438/0001-73;2023-12-31;1;EQUATORIAL S.A.;1147108197;0;1147108197;0;0;0
03.279.285/0001-30;2023-12-31;2;ORIZON MEIO AMBIENTE S.A.;3510;0;3510;0;0;0
03.303.999/0001-36;2023-12-31;1;DTCOM - DIRECT TO COMPANY S.A.;10680476;450655;11131131;0;0;0
03.342.704/0001-30;2023-12-31;1;PETRORECÔNCAVO S.A.;293338126;0;293338126;225996;0;225996
03.378.521/0001-75;2023-12-31;1;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;372555324;0;372555324;0;0;0
03.467.321/0001-99;2023-12-31;1;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;75529774;143412165;218941939;0;0;0
03.538.833/0001-07;2023-12-31;1;XX DE NOVEMBRO INVESTIMENTOS E PARTICIPAÇÕES S.A.;451303226;0;451303226;0;0;0
03.758.318/0001-24;2023-12-31;1;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;143057124;286114248;429171372;0;0;0
03.767.538/0001-14;2023-12-31;1;BRAZILIAN SECURITIES CIA SECURITIZACAO;77864966;0;77864966;0;0;0
03.795.050/0001-09;2023-12-31;1;TERMOPERNAMBUCO S.A.;433894;0;433894;0;0;0
03.802.115/0001-98;2023-12-31;1;CLEAR SALE S.A.;187926060;0;187926060;0;0;0
03.818.379/0001-30;2023-12-31;1;SABER SERVIÇOS EDUCACIONAIS S.A.;373581424;0;373581424;0;0;0
03.820.456/0001-96;2023-12-31;1;BSB ENERGÉTICA S.A.;3028501;0;3028501;0;0;0
03.847.461/0001-92;2023-12-31;1;BRADESPAR S.A.;137990;255107;393097;0;0;0
03.853.896/0001-40;2023-12-31;1;MARFRIG GLOBAL FOODS S.A.;932000000;0;932000000;2867443;0;2867443
03.953.509/0001-47;2023-12-31;1;CPFL GERACAO DE ENERGIA S.A.;225137769;0;225137769;0;0;0
03.983.431/0001-03;2023-12-31;1;EDP - ENERGIAS DO BRASIL S.A.;545100;0;545100;0;0;0
04.030.182/0001-02;2023-12-31;1;CABINDA PARTICIPACOES S.A.;2537890;5075781;7613671;0;0;0
04.031.213/0001-31;2023-12-31;1;CACONDE PARTICIPACOES S.A.;783101;1566323;2349424;0;0;0
04.032.433/0001-80;2023-12-31;2;ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;26710356;0;26710356;0;0;0
04.038.763/0001-82;2023-12-31;1;CAIANDA PARTICIPACOES S.A.;776869;1553254;2330123;0;0;0
04.065.053/0001-41;2023-12-31;1;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;15000000;0;15000000;0;0;0
04.069.709/0001-02;2023-12-31;1;BIONEXO S.A.;188025353;0;188025353;0;0;0
04.089.570/0001-50;2023-12-31;1;ÁGUAS GUARIROBA S.A;331012034;0;331012034;0;0;0
04.149.454/0001-80;2023-12-31;1;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;696334;0;696334;713;0;713
04.172.213/0001-51;2023-12-31;1;CIA PIRATININGA DE FORCA E LUZ;53096770180;0;53096770180;0;0;0
04.212.396/0001-91;2023-12-31;2;VOKE S.A.;27123015;0;27123015;0;0;0
04.233.319/0001-18;2023-12-31;1;NCF PARTICIPAÇÕES S/A;1830587;1631492;3462079;0;0;0
04.368.865/0001-66;2023-12-31;1;LIGGA TELECOMUNICAÇÕES S.A.;736646899;0;736646899;0;0;0
04.368.898/0001-06;2023-12-31;1;COPEL DISTRIBUIÇÃO S.A.;5372205949;0;5372205949;0;0;0
04.370.282/0001-70;2023-12-31;1;COPEL GERAÇÃO E TRANSMISSÃO S.A.;6242757424;0;6242757424;0;0;0
04.423.567/0001-21;2023-12-31;1;ENEVA S.A;1584572;0;1584572;1900;0;1900
04.601.397/0001-28;2023-12-31;1;BRISANET SERVIÇOS DE TELECOMUNICAÇÕES S.A.;1368739142;0;1368739142;0;0;0
04.739.720/0001-24;2023-12-31;1;USINA TERMELÉTRICA PAMPA SUL S.A.;1268041000;0;1268041000;0;0;0
04.752.991/0001-10;2023-12-31;1;BIOMM S.A.;89100324;0;89100324;0;0;0
04.821.041/0001-08;2023-12-31;1;METALFRIO SOLUTIONS S.A.;4106754;0;4106754;0;0;0
04.895.728/0001-80;2023-12-31;1;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;2204620569;4453438;2209074007;0;0;0
04.902.979/0001-44;2023-12-31;1;BCO AMAZONIA S.A.;56058315;0;56058315;0;0;0
04.912.242/0001-02;2023-12-31;1;PORTUENSE FERRAGENS S/A;24;5;29;0;0;0
04.913.711/0001-08;2023-12-31;1;BCO ESTADO DO PARA S.A.;9521649;0;9521649;0;0;0
04.972.092/0001-22;2023-12-31;2;GRUPO FARTURA DE HORTIFRUT S.A.;2781220;0;2781220;0;0;0
04.986.320/0001-13;2023-12-31;1;SER EDUCACIONAL S.A.;128721560;0;128721560;386800;0;386800
04.992.714/0001-84;2023-12-31;1;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;2312328578;0;2312328578;0;0;0
05.197.443/0001-38;2023-12-31;2;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;7539463263;0;7539463263;44356272;0;44356272
05.303.439/0001-07;2023-12-31;1;UNIGEL PARTICIPAÇÕES S.A.;920962726;0;920962726;0;0;0
05.336.882/0001-84;2023-12-31;1;CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A.;20000000;0;20000000;0;0;0
05.347.060/0001-07;2023-12-31;1;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;55914;0;55914;0;0;0
05.878.397/0001-32;2023-12-31;1;ALLOS S.A.;573936909;0;573936909;20885847;0;20885847
05.917.486/0001-40;2023-12-31;1;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;64663;0;64663;1202;0;1202
06.016.348/0001-53;2023-12-31;2;VENTOS DO SUL ENERGIA S.A.;140964000;0;140964000;0;0;0
06.047.087/0001-39;2023-12-31;1;REDE D'OR SÃO LUIZ S.A.;2289292590;0;2289292590;34685880;0;34685880
06.057.223/0001-71;2023-12-31;1;SENDAS DISTRIBUIDORA S.A.;1351833;0;1351833;0;0;0
06.164.253/0001-87;2023-12-31;1;GOL LINHAS AEREAS INTELIGENTES S.A.;2863682500;336919404;3200601904;0;50112;50112
06.272.793/0001-84;2023-12-31;2;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;161318939;2864960;164183899;0;0;0
06.347.409/0001-65;2023-12-31;1;SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.;2194630161;0;2194630161;0;0;0
06.626.253/0001-51;2023-12-31;1;EMPREENDIMENTOS PAGUE MENOS S.A.;541780460;0;541780460;2802806;0;2802806
06.977.745/0001-91;2023-12-31;1;BR MALLS PARTICIPACOES S.A.;828274;0;828274;8553;0;8553
06.981.176/0001-58;2023-12-31;2;CEMIG GERACAO E TRANSMISSAO S.A.;2896785;0;2896785;0;0;0
06.981.180/0001-16;2023-12-31;2;CEMIG DISTRIBUICAO S.A.;2359113;0;2359113;0;0;0
06.981.381/0001-13;2023-03-31;2;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;320748000;0;320748000;0;0;0
07.040.108/0001-57;2023-12-31;1;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;185904416;57451;185961867;0;0;0
07.043.628/0001-13;2023-12-31;1;CLARO TELECOM PARTICIPAÇÕES S.A.;203583506;0;203583506;0;0;0
07.047.251/0001-70;2023-12-31;1;CIA ENERGETICA DO CEARA - COELCE;48067937;29787362;77855299;0;0;0
07.119.838/0001-48;2023-12-31;1;SECME - COMPANHIA SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS;616708;0;616708;0;0;0
07.206.816/0001-15;2023-12-31;1;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;339000000;0;339000000;2675111;0;2675111
07.237.373/0001-20;2023-12-31;1;BCO NORDESTE DO BRASIL S.A.;86371;0;86371;0;0;0
07.253.321/0001-47;2023-12-31;1;CARBOMIL SA MINER. E INDUSTRIA;155;66;221;0;0;0
07.275.159/0001-68;2023-12-31;1;PETROLEO LUB DO NORDESTE SA;496;1575;2071;0;79;79
07.282.377/0001-20;2023-12-31;1;ENERGISA SUL-SUDESTE - DISTRIBUIDORA DE ENERGIA S/A;97112;0;97112;0;0;0
07.334.600/0001-35;2023-12-31;1;MARINA DE IRACEMA PARK SA;95244;1317;96561;0;0;0
07.401.436/0001-31;2023-12-31;1;ELDORADO BRASIL CELULOSE S.A.;1525558419;0;1525558419;0;0;0
07.415.333/0001-20;2023-12-31;1;SIMPAR S.A.;838407909;0;838407909;11366364;0;11366364
07.526.557/0001-00;2023-12-31;1;AMBEV S.A.;15753833;0;15753833;4384;0;4384
07.594.978/0001-78;2023-12-31;1;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;586242289;0;586242289;0;0;0
07.628.528/0001-59;2023-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;102377008;0;102377008;3571179;0;3571179
07.636.657/0001-99;2023-12-31;2;AÇO VERDE DO BRASIL S.A;1031745;206231;1237976;0;0;0
07.659.538/0001-51;2023-12-31;2;DINAMICA ENERGIA S.A.;334424;0;334424;0;0;0
07.682.638/0001-07;2023-12-31;1;CONCESSIONÁRIA DA LINHA 4 DO METRÔ DE SÃO PAULO S.A.;74803517;74803517;149607034;0;0;0
07.689.002/0001-89;2023-12-31;1;EMBRAER S.A.;740465;0;740465;5832;0;5832
07.704.246/0001-93;2023-12-31;1;DATORA PARTICIPAÇÕES E SERVIÇOS S.A.;86608416;0;86608416;0;0;0
07.714.104/0001-07;2023-12-31;1;GIGA MAIS FIBRA TELECOMUNICAÇÕES S.A.;150442670;0;150442670;0;0;0
07.802.794/0001-56;2023-12-31;1;ESSENTIA PCHS S.A.;195943349;0;195943349;0;0;0
07.816.890/0001-53;2023-12-31;1;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;600760875;0;600760875;18713710;0;18713710
07.820.907/0001-46;2023-12-31;2;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;2422153;0;2422153;0;0;0
07.823.262/0001-03;2023-12-31;1;FOZ DO RIO CLARO ENERGIA S.A.;67717178;40991800;108708978;0;0;0
07.857.093/0001-14;2023-12-31;2;AURA MINERALS INC.;72256564;0;72256564;0;0;0
07.857.850/0001-50;2023-12-31;1;GP INVESTMENTS, LTD.;77670183;0;77670183;0;0;0
07.859.971/0001-30;2023-12-31;1;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;590714;442783;1033497;0;0;0
07.882.930/0001-65;2023-12-31;1;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;105774820;0;105774820;0;0;0
07.976.147/0001-60;2023-12-31;1;MOVIDA LOCAÇÃO DE VEÍCULOS S.A.;7468002;0;7468002;0;0;0
08.065.557/0001-12;2023-12-31;1;TECNISA S.A.;73619;0;73619;0;0;0
08.070.508/0001-78;2023-03-31;1;RAIZEN ENERGIA S.A.;20588374701;0;20588374701;0;0;0
08.078.847/0001-09;2023-12-31;1;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;147555;0;147555;10267;0;10267
08.159.965/0001-33;2023-12-31;1;IGUA SANEAMENTO S.A.;427804422;0;427804422;1448451;0;1448451
08.170.849/0001-15;2023-12-31;2;DESKTOP S.A.;115265345;0;115265345;0;0;0
08.213.823/0001-07;2023-12-31;1;AURA ALMAS MINERAÇÃO S.A.;137909166;0;137909166;0;0;0
08.262.121/0001-13;2023-12-31;1;ALUBAR METAIS E CABOS S.A.;87114193;0;87114193;0;0;0
08.294.224/0001-65;2023-12-31;1;JHSF PARTICIPACOES S.A.;679328541;0;679328541;1408026;0;1408026
08.312.229/0001-73;2023-12-31;2;EZ TEC EMPREEND. E PARTICIPACOES S.A.;220989103;0;220989103;2863400;0;2863400
08.322.396/0001-03;2023-03-31;1;CERRADINHO BIOENERGIA S.A.;458277128;0;458277128;0;0;0
08.324.196/0001-81;2023-12-31;1;CIA ENERGETICA DO RIO GDE NORTE - COSERN;129746;38328;168074;0;0;0
08.343.492/0001-20;2023-12-31;1;MRV ENGENHARIA E PARTICIPACOES S.A.;561971;0;561971;1;0;1
08.364.948/0001-38;2023-12-31;1;ALUPAR INVESTIMENTO S/A;620834207;293441497;914275704;0;0;0
08.397.078/0001-01;2023-12-31;1;GSH CORP PARTICIPAÇÕES S.A.;229371078;43385771;272756849;0;2017964;2017964
08.402.943/0001-52;2023-12-31;1;GUARARAPES CONFECCOES S.A.;499200000;0;499200000;2560;0;2560
08.424.178/0001-71;2023-12-31;1;TECBLU TECELAGEM BLUMENAU S.A.;180894;1025897;1206791;0;0;0
08.439.659/0001-50;2023-12-31;1;CPFL ENERGIAS RENOVÁVEIS S.A.;593782504;0;593782504;0;0;0
08.467.115/0001-00;2023-12-31;1;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;68254930;0;68254930;0;0;0
08.493.364/0001-62;2023-03-31;1;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;12584159120;0;12584159120;0;0;0
08.534.605/0001-74;2023-12-31;1;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;124741981;124741975;249483956;0;0;0
08.560.444/0001-93;2023-12-31;1;CIA CELG DE PARTICIPACOES - CELGPAR;79676;0;79676;0;0;0
08.574.411/0001-00;2023-12-31;1;PRÁTICA PRODUTOS S.A.;3355031;0;3355031;0;0;0
08.613.550/0001-98;2023-12-31;2;NEXPE PARTICIPAÇÕES S.A;2655569;0;2655569;11808;0;11808
08.764.621/0001-53;2023-12-31;1;GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.;1928769;0;1928769;53431;0;53431
08.769.451/0001-08;2023-12-31;1;VIRGO COMPANHIA DE SECURITIZAÇÃO;35536642;0;35536642;0;0;0
08.773.135/0001-00;2023-12-31;1;2W ECOBANK S.A.;113548407;0;113548407;0;0;0
08.773.191/0001-36;2023-12-31;1;BRASILIANA PARTICIPAÇÕES S/A;507692309;42307699;550000008;0;0;0
08.795.211/0001-70;2023-12-31;1;MAESTRO LOCADORA DE VEICULOS S.A.;26009820;0;26009820;0;0;0
08.797.760/0001-83;2023-12-31;1;CURY CONSTRUTORA E INCORPORADORA S.A.;291875088;0;291875088;1990800;0;1990800
08.801.621/0001-86;2023-12-31;1;SYN PROP & TECH S.A.;152644;0;152644;0;0;0
08.807.432/0001-10;2023-12-31;1;YDUQS PARTICIPACOES S.A.;309089;0;309089;17735;0;17735
