CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;2865417020;0;2865417020;12175335;0;12175335
00.000.208/0001-00;2020-12-31;4;BRB BANCO DE BRASILIA S.A.;28014;8290;36304;0;0;0
00.001.180/0001-26;2020-12-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;1288842596;280088314;1568930910;0;0;0
00.070.698/0001-11;2020-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;7184178;7232205;14416383;0;0;0
00.080.671/0001-00;2020-12-31;2;CARAMURU ALIMENTOS S.A.;24444000;0;24444000;0;0;0
00.192.769/0001-59;2020-12-31;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;10000;0;10000;0;0;0
00.194.724/0001-13;2020-12-31;1;AUREN OPERAÇÕES S.A.;2356634;0;2356634;0;0;0
00.242.184/0001-04;2020-12-31;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;971039;0;971039;0;0;0
00.272.185/0001-93;2020-12-31;2;CIMS S.A.;12799820;25599480;38399300;0;0;0
00.336.701/0001-04;2020-12-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;49457271;18407491;67864762;193;0;193
00.359.742/0001-08;2020-12-31;1;FICTOR ALIMENTOS S.A.;20898;0;20898;0;0;0
00.383.281/0001-09;2020-12-31;2;BNDES PARTICIPACOES S.A. - BNDESPAR;1000000;0;1000000;0;0;0
00.389.481/0001-79;2020-12-31;2;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;140412;0;140412;0;0;0
00.416.968/0001-01;2020-12-31;1;BANCO INTER S.A.;383452029;380992616;764444645;1335100;2670200;4005300
00.545.378/0001-70;2020-12-31;1;SERRA AZUL WATER PARK SA;29188116;0;29188116;0;0;0
00.622.416/0001-41;2020-12-31;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;218370694;0;218370694;0;0;0
00.644.907/0001-93;2020-12-31;1;INVESTCO S.A.;402202;384204;786406;0;0;0
00.743.065/0001-27;2020-12-31;1;LITEL PARTICIPACOES S.A.;215495;0;215495;0;0;0
00.776.574/0001-56;2020-12-31;2;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;559858093;0;559858093;0;0;0
