CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2017-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2016-01-01;2016-12-31;4.01;Lucro Líquido Consolidado do Período;8659577.0000000000;S
00.000.000/0001-91;2017-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2017-01-01;2017-12-31;4.01;Lucro Líquido Consolidado do Período;12275303.0000000000;S
00.000.000/0001-91;2017-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2016-01-01;2016-12-31;4.02;Outros Resultados Abrangentes;-766624.0000000000;S
00.000.000/0001-91;2017-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2017-01-01;2017-12-31;4.02;Outros Resultados Abrangentes;3527751.0000000000;S
00.000.000/0001-91;2017-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2016-01-01;2016-12-31;4.02.01;Ganhos/(Perdas) Líquidos Não Realizados sobre Ativos Financeiros Disponíveis para Venda;2045205.0000000000;N
00.000.000/0001-91;2017-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2017-01-01;2017-12-31;4.02.01;Ganhos/(Perdas) Líquidos Não Realizados sobre Ativos Financeiros Disponíveis para Venda;1372158.0000000000;N
00.000.000/0001-91;2017-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2016-01-01;2016-12-31;4.02.02;(Ganhos)/Perdas Líquidos Realizados sobre Ativos Financeiros Disponíveis para Venda;-128063.0000000000;N
00.000.000/0001-91;2017-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2017-01-01;2017-12-31;4.02.02;(Ganhos)/Perdas Líquidos Realizados sobre Ativos Financeiros Disponíveis para Venda;-471874.0000000000;N
00.000.000/0001-91;2017-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2016-01-01;2016-12-31;4.02.03;Efeito Fiscal sobre Ativos Financeiros Disponíveis para Venda;-339305.0000000000;N
00.000.000/0001-91;2017-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2017-01-01;2017-12-31;4.02.03;Efeito Fiscal sobre Ativos Financeiros Disponíveis para Venda;-196791.0000000000;N
